Precisión	Probabilidad	Error	Tiempo (ms)
0.1	2.12877e-28	8.30144e-29	17184
0.118	2.03691e-28	1.37808e-28	6688
0.136	1.13357e-28	1.17732e-28	1340
0.154	1.13357e-28	1.17732e-28	1343
0.172	1.13357e-28	1.17732e-28	1342
0.19	1.13357e-28	1.17732e-28	1348
0.208	1.13357e-28	1.17732e-28	1343
0.226	1.13357e-28	1.17732e-28	1342
0.244	1.13357e-28	1.17732e-28	1360
0.262	1.13357e-28	1.17732e-28	1350
0.28	1.13357e-28	1.17732e-28	1342
0.298	1.13357e-28	1.17732e-28	1341
0.316	1.13357e-28	1.17732e-28	1347
0.334	1.13357e-28	1.17732e-28	1345
0.352	1.13357e-28	1.17732e-28	1341
0.37	1.13357e-28	1.17732e-28	1380
0.388	1.13357e-28	1.17732e-28	1343
0.406	1.13357e-28	1.17732e-28	1347
0.424	1.13357e-28	1.17732e-28	1340
0.442	1.13357e-28	1.17732e-28	1337
0.46	1.13357e-28	1.17732e-28	1340
0.478	1.13357e-28	1.17732e-28	1363
0.496	1.13357e-28	1.17732e-28	1373
0.514	1.13357e-28	1.17732e-28	1346
0.532	1.13357e-28	1.17732e-28	1346
0.55	1.13357e-28	1.17732e-28	1346
0.568	1.13357e-28	1.17732e-28	1342
0.586	1.13357e-28	1.17732e-28	1347
0.604	1.13357e-28	1.17732e-28	1353
0.622	1.13357e-28	1.17732e-28	1348
0.64	1.13357e-28	1.17732e-28	1348
0.658	1.13357e-28	1.17732e-28	1351
0.676	1.13357e-28	1.17732e-28	1346
0.694	1.13357e-28	1.17732e-28	1352
0.712	1.13357e-28	1.17732e-28	1353
0.73	1.13357e-28	1.17732e-28	1350
0.748	1.13357e-28	1.17732e-28	1348
0.766	1.13357e-28	1.17732e-28	1350
0.784	1.13357e-28	1.17732e-28	1352
0.802	1.13357e-28	1.17732e-28	1355
0.82	1.13357e-28	1.17732e-28	1339
0.838	1.13357e-28	1.17732e-28	1324
0.856	1.13357e-28	1.17732e-28	1329
0.874	1.13357e-28	1.17732e-28	1328
0.892	1.13357e-28	1.17732e-28	1328
0.91	1.13357e-28	1.17732e-28	1363
0.928	1.13357e-28	1.17732e-28	1329
0.946	1.13357e-28	1.17732e-28	1325
0.964	1.13357e-28	1.17732e-28	1329
0.982	1.13357e-28	1.17732e-28	1328
