Mass	ProbabilidadStandard	TiempoStandard (μs)	ProbabilidadGSL	ErrorGSLTiempoGSL (μs)
0.2	1.5044e-30	8.96428e+07	1.40067e-30	7.84539e-30	2.23254e+06
0.203	2.2756e-29	8.96428e+07	4.61575e-29	2.54592e-29	2.23192e+06
0.206	6.02878e-29	8.96428e+07	7.16731e-29	5.07341e-29	2.23576e+06
0.209	4.39404e-29	8.96428e+07	2.57653e-31	3.48033e-30	2.23718e+06
0.212	1.07415e-28	8.96428e+07	9.26476e-29	1.06112e-29	2.23829e+06
0.215	3.03743e-29	8.96427e+07	1.11951e-29	3.11763e-29	2.23464e+06
0.218	8.50482e-29	8.96428e+07	9.64239e-29	3.5233e-30	2.23477e+06
0.221	1.69338e-29	8.96427e+07	9.5847e-30	3.04475e-29	2.23513e+06
0.224	4.282e-29	8.96427e+07	1.26608e-28	2.728e-29	2.23456e+06
0.227	2.26199e-29	8.96428e+07	5.10324e-30	2.23178e-29	2.23868e+06
0.23	1.26628e-29	8.96429e+07	1.02765e-28	1.27268e-28	2.23486e+06
0.233	4.59895e-30	8.96428e+07	1.29342e-28	1.61452e-29	2.23051e+06
0.236	1.08207e-28	8.96428e+07	3.97482e-30	2.35695e-29	2.23492e+06
0.239	5.008e-29	8.96428e+07	1.61728e-29	3.74329e-29	6.69384e+06
0.242	1.87138e-29	8.96427e+07	2.07646e-28	1.20021e-28	2.22512e+06
0.245	2.45949e-29	8.96427e+07	1.79695e-28	2.29455e-29	2.23736e+06
0.248	6.80004e-29	8.96428e+07	7.01718e-29	1.08461e-28	2.2332e+06
0.251	4.82451e-29	8.96427e+07	7.43281e-30	1.53691e-29	8.94859e+06
0.254	1.07798e-29	8.96428e+07	6.85948e-30	3.61946e-29	1.11685e+07
0.257	3.07553e-29	8.96428e+07	1.4599e-29	5.97073e-29	1.11723e+07
0.26	6.16018e-29	8.96428e+07	4.45938e-30	2.2072e-29	1.34336e+07
0.263	4.48937e-29	8.96428e+07	1.15146e-30	7.22333e-30	1.34123e+07
0.266	8.02462e-29	8.96428e+07	6.87809e-31	1.25263e-29	1.34238e+07
0.269	1.19039e-28	8.96428e+07	2.138e-30	1.35224e-29	1.56447e+07
0.272	8.78748e-29	8.96428e+07	3.99942e-30	2.59321e-29	4.47719e+06
0.275	1.84437e-28	8.96428e+07	3.43082e-29	4.49616e-29	8.94497e+06
0.278	6.16118e-29	8.96427e+07	7.58565e-28	1.86358e-28	2.23214e+06
0.281	3.84853e-29	8.96427e+07	8.46521e-30	1.78845e-29	8.93266e+06
0.284	6.53041e-29	8.96428e+07	5.29629e-31	1.01403e-29	1.56252e+07
0.287	2.0093e-29	8.96428e+07	2.66022e-30	1.89e-29	8.91654e+06
0.29	2.39215e-28	8.96427e+07	1.83118e-28	1.2825e-28	1.11549e+07
0.293	4.00976e-29	8.96427e+07	4.72077e-30	2.80014e-29	1.56532e+07
0.296	1.7682e-28	8.96428e+07	2.04098e-30	1.92061e-29	2.90011e+07
0.299	5.14472e-29	8.96428e+07	1.60487e-29	6.11932e-29	6.91732e+07
0.302	1.02656e-28	8.96428e+07	4.05791e-29	9.23805e-29	6.50154e+07
0.305	3.28829e-28	8.96427e+07	2.43351e-28	2.12541e-28	6.66742e+07
0.308	2.69256e-29	8.96427e+07	3.4859e-29	9.08645e-29	9.79471e+07
0.311	8.60935e-29	8.96427e+07	1.19035e-29	4.40125e-29	6.43108e+07
0.314	1.15557e-29	8.96427e+07	8.82569e-30	4.1956e-29	4.84407e+07
0.317	1.97335e-28	8.96427e+07	2.48996e-28	2.37959e-28	9.03589e+07
0.32	6.14701e-29	8.96427e+07	6.34664e-27	4.57927e-28	2.24244e+06
0.323	2.57962e-28	8.96429e+07	0	0	1.22506e+08
0.326	2.35303e-27	8.96427e+07	2.16969e-27	5.97356e-28	3.31363e+07
0.329	1.06223e-26	8.96428e+07	5.62092e-26	1.99931e-26	4.02445e+07
0.332	3.58958e-26	8.96427e+07	3.18516e-26	1.16096e-26	1.03828e+08
0.335	9.65804e-27	8.96428e+07	6.66558e-27	1.83621e-27	8.65713e+07
0.338	1.36355e-24	8.96427e+07	1.40663e-24	3.34284e-25	1.56625e+07
0.341	3.92995e-23	8.96427e+07	3.98872e-23	1.95249e-24	1.57029e+07
0.344	3.86977e-22	8.96427e+07	3.95302e-22	1.4069e-24	1.56795e+07
0.347	2.23512e-21	8.96427e+07	2.28552e-21	1.98335e-24	1.56822e+07
0.35	1.40732e-20	8.96427e+07	1.44085e-20	2.23195e-21	6.73019e+06
0.353	1.52314e-22	8.96427e+07	1.58171e-22	1.81564e-23	1.88308e+07
0.356	3.71199e-22	8.96427e+07	3.79718e-22	9.14634e-25	1.60687e+07
0.359	1.26203e-22	8.96427e+07	1.28876e-22	1.06657e-24	1.64708e+07
0.362	2.38325e-23	8.96427e+07	2.41722e-23	1.81634e-24	1.56471e+07
0.365	3.12666e-24	8.96427e+07	3.23178e-24	4.66554e-25	1.60892e+07
0.368	3.31333e-25	8.96427e+07	3.43542e-25	4.32317e-26	3.17592e+07
0.371	2.9804e-26	8.96428e+07	3.2283e-26	7.90799e-27	2.87281e+07
0.374	4.11882e-27	8.96428e+07	3.93286e-27	1.53179e-27	5.76721e+07
0.377	2.70623e-28	8.96428e+07	0	0	1.20588e+08
0.38	1.54212e-28	8.96428e+07	1.41288e-28	1.84891e-28	2.26888e+08
0.383	2.91861e-28	8.96428e+07	3.30425e-28	2.60843e-28	9.9825e+07
0.386	1.20478e-29	8.96428e+07	2.73746e-30	2.34879e-29	2.93387e+07
0.389	7.79544e-29	8.96427e+07	3.37131e-29	5.81607e-29	4.28333e+07
0.392	1.80318e-28	8.96428e+07	2.31207e-29	6.92046e-29	1.12268e+07
0.395	4.01628e-29	8.96428e+07	3.46674e-29	8.19371e-29	5.61765e+07
0.398	1.29817e-28	8.96427e+07	1.00999e-28	1.37967e-28	3.1345e+07
0.401	1.95339e-29	8.96427e+07	1.44335e-27	1.25527e-28	2.19227e+06
0.404	3.05632e-28	8.96427e+07	2.03307e-30	1.69263e-29	1.53717e+07
0.407	6.89593e-29	8.96427e+07	3.70945e-31	3.12546e-30	6.60485e+06
0.41	2.65253e-29	8.96427e+07	8.43585e-28	1.8061e-28	2.20174e+06
