Mass	ProbabilidadStandard	TiempoStandard (μs)	ProbabilidadGSL	ErrorGSLTiempoGSL (μs)
0.2	8.3907e-29	3.13079e+07	3.8988e-29	8.73768e-29	1.42598e+07
0.203	1.77538e-27	3.13079e+07	2.04483e-27	7.60695e-28	7.7835e+06
0.206	1.32633e-27	3.13079e+07	8.44668e-28	4.35501e-28	6.51295e+06
0.209	1.60173e-27	3.13079e+07	1.8431e-27	6.53074e-28	6.53938e+06
0.212	1.60823e-27	3.13079e+07	1.62332e-27	3.82041e-28	7.8384e+06
0.215	8.758e-28	3.13079e+07	1.08932e-27	4.86628e-28	7.84826e+06
0.218	1.62095e-27	3.13079e+07	1.81584e-27	4.40175e-28	8.01019e+06
0.221	9.60744e-28	3.13079e+07	1.2959e-27	5.81205e-28	8.01906e+06
0.224	2.81493e-27	3.1308e+07	1.66012e-27	5.02707e-28	8.02526e+06
0.227	2.21401e-27	3.13079e+07	2.59897e-27	8.59079e-28	8.02134e+06
0.23	7.90649e-28	3.13079e+07	8.07668e-28	3.4771e-28	1.33863e+07
0.233	3.80476e-27	3.13079e+07	5.26736e-27	2.01574e-27	6.7026e+06
0.236	2.63221e-28	3.13079e+07	3.73767e-28	2.6266e-28	1.60777e+07
0.239	2.92022e-27	3.1308e+07	2.11387e-27	6.31178e-28	8.02681e+06
0.242	3.85884e-27	3.1308e+07	4.31176e-27	1.40596e-27	9.38556e+06
0.245	7.24092e-29	3.1308e+07	3.5248e-28	2.61285e-28	1.207e+07
0.248	1.98805e-27	3.1308e+07	1.94205e-27	6.84696e-28	8.05652e+06
0.251	6.16331e-27	3.13079e+07	6.407e-27	1.4219e-27	1.61063e+07
0.254	2.17361e-27	3.13079e+07	2.74843e-27	8.23648e-28	1.33891e+07
0.257	2.35428e-28	3.1308e+07	5.45854e-30	3.38661e-29	1.74201e+07
0.26	2.8277e-27	3.13079e+07	2.53391e-27	8.21786e-28	2.4129e+07
0.263	7.08494e-27	3.1308e+07	7.21295e-27	2.14574e-27	1.87547e+07
0.266	6.1573e-27	3.1308e+07	6.96966e-27	2.1996e-27	1.73941e+07
0.269	2.30082e-27	3.13079e+07	3.85315e-27	9.40643e-28	2.17601e+07
0.272	8.81327e-28	3.1308e+07	6.89537e-28	3.97733e-28	4.0178e+07
0.275	5.10049e-28	3.1308e+07	2.10453e-29	7.58489e-29	4.42134e+07
0.278	9.71493e-28	3.13079e+07	1.02138e-27	4.6786e-28	2.29625e+07
0.281	2.97781e-27	3.13079e+07	2.59181e-27	8.47163e-28	3.42698e+07
0.284	5.0963e-27	3.1308e+07	5.05942e-27	1.47208e-27	1.58831e+07
0.287	6.67797e-27	3.1308e+07	7.08602e-27	1.87538e-27	2.50736e+07
0.29	9.10148e-27	3.13079e+07	8.43166e-27	2.11935e-27	1.72062e+07
0.293	8.55279e-27	3.1308e+07	7.93926e-27	2.10855e-27	2.11665e+07
0.296	8.75825e-27	3.1308e+07	6.93236e-27	1.67546e-27	2.14101e+07
0.299	3.86354e-27	3.13079e+07	3.16763e-27	1.02964e-27	2.8246e+07
0.302	2.28677e-27	3.1308e+07	2.10251e-27	7.96257e-28	7.59643e+07
0.305	6.6176e-28	3.13079e+07	7.98015e-28	4.78895e-28	5.39657e+07
0.308	3.83499e-27	3.1308e+07	4.71129e-27	1.52048e-27	5.34693e+07
0.311	1.46253e-26	3.1308e+07	2.02459e-26	5.26943e-27	2.17118e+07
0.314	3.22017e-26	3.1308e+07	4.20435e-26	7.77018e-27	1.35453e+07
0.317	3.50465e-26	3.13079e+07	3.70295e-26	1.18059e-26	3.82869e+07
0.32	1.63536e-26	3.13079e+07	1.94166e-26	5.71362e-27	2.51536e+07
0.323	1.53925e-27	3.1308e+07	2.93536e-27	9.3102e-28	4.37423e+07
0.326	6.26825e-26	3.1308e+07	7.23158e-26	1.4831e-26	1.72478e+07
0.329	1.56424e-25	3.13079e+07	0	0	8.67976e+07
0.332	1.22805e-25	3.13079e+07	1.29749e-25	2.65501e-26	1.46491e+07
0.335	1.22673e-26	3.1308e+07	1.78429e-26	6.14605e-27	6.62351e+07
0.338	2.67481e-24	3.1308e+07	2.09631e-24	2.72593e-25	5.44963e+06
0.341	4.24678e-23	3.1308e+07	4.77626e-23	7.39162e-24	6.79082e+06
0.344	3.65891e-22	3.13079e+07	4.07685e-22	6.51603e-23	4.07997e+06
0.347	2.16111e-21	3.13079e+07	2.42544e-21	1.07965e-22	1.35856e+06
0.35	1.43366e-20	3.13079e+07	1.60511e-20	7.50226e-22	1.35658e+06
0.353	1.52641e-22	3.1308e+07	1.75081e-22	5.71846e-23	2.71372e+06
0.356	3.34234e-22	3.1308e+07	3.73361e-22	1.86359e-23	4.06527e+06
0.359	1.28797e-22	3.1308e+07	1.43232e-22	3.4319e-23	4.06438e+06
0.362	2.92991e-23	3.1308e+07	3.29323e-23	5.8486e-25	9.49576e+06
0.365	2.58547e-24	3.1308e+07	2.9005e-24	2.94219e-25	9.49715e+06
0.368	6.33822e-26	3.1308e+07	6.66516e-26	1.70512e-26	1.62891e+07
0.371	1.44078e-25	3.1308e+07	1.50438e-25	2.9544e-26	1.49582e+07
0.374	5.14087e-26	3.1308e+07	6.14829e-26	1.73903e-26	2.1705e+07
0.377	4.72157e-26	3.1308e+07	5.64965e-26	1.13819e-26	3.26204e+07
0.38	8.49505e-28	3.1308e+07	6.90417e-28	4.44838e-28	4.89281e+07
0.383	2.80796e-26	3.1308e+07	3.36875e-26	9.42569e-27	2.04046e+07
0.386	2.34004e-26	3.1308e+07	2.24413e-26	6.66415e-27	1.35992e+07
0.389	9.53938e-31	3.1308e+07	5.58907e-28	3.75743e-28	3.54023e+07
0.392	1.87849e-26	3.1308e+07	2.03848e-26	3.98752e-27	1.22509e+07
0.395	2.03806e-26	3.1308e+07	2.26117e-26	6.78416e-27	5.15072e+07
0.398	2.87984e-27	3.13081e+07	2.78862e-27	8.82017e-28	2.17706e+07
0.401	1.10081e-27	3.1308e+07	2.11501e-27	3.77725e-28	2.99957e+07
0.404	9.99146e-27	3.1308e+07	1.01114e-26	2.57918e-27	1.91134e+07
0.407	9.76473e-27	3.1308e+07	1.36559e-26	4.27172e-27	1.22891e+07
0.41	7.1564e-27	3.1308e+07	7.52894e-27	2.15497e-27	2.31441e+07
0.413	1.71118e-27	3.13079e+07	1.88583e-27	7.25639e-28	2.57431e+07
0.416	2.91544e-28	3.13079e+07	6.49834e-29	1.35582e-28	3.05362e+07
0.419	8.81721e-28	3.13079e+07	2.01628e-27	6.15869e-28	1.59583e+07
0.422	2.6491e-27	3.1308e+07	3.64271e-27	1.112e-27	1.86537e+07
0.425	2.81568e-27	3.13079e+07	4.64095e-27	1.0552e-27	1.73547e+07
0.428	3.21472e-27	3.13079e+07	5.16828e-27	1.59671e-27	9.34588e+06
0.431	3.32659e-27	3.1308e+07	5.02325e-27	1.12455e-27	1.63005e+07
0.434	4.2214e-27	3.13079e+07	5.88945e-27	1.99077e-27	1.22676e+07
0.437	2.6691e-27	3.13079e+07	4.41955e-27	1.53484e-27	1.40516e+07
0.44	3.07153e-27	3.13079e+07	3.40272e-27	1.05585e-27	6.69687e+06
0.443	1.84248e-27	3.1308e+07	2.77735e-27	7.7774e-28	8.03024e+06
0.446	1.33024e-27	3.1308e+07	1.73852e-27	6.62426e-28	8.18531e+06
0.449	9.69421e-28	3.1308e+07	1.07238e-27	4.74588e-28	8.1562e+06
0.452	2.37e-28	3.1308e+07	1.74493e-28	1.61584e-28	1.0945e+07
0.455	3.21468e-28	3.1308e+07	3.37369e-29	7.08918e-29	9.58611e+06
0.458	1.00504e-27	3.1308e+07	9.22565e-28	3.44887e-28	4.11056e+06
0.461	2.15475e-27	3.1308e+07	1.47187e-27	5.54609e-28	2.73184e+06
0.464	1.44861e-27	3.1308e+07	1.47034e-27	5.2631e-28	1.36381e+06
0.467	3.17605e-28	3.1308e+07	5.29371e-28	2.90208e-28	1.36282e+06
0.47	1.8647e-29	3.1308e+07	1.35473e-28	1.89078e-28	5.46042e+06
0.473	1.72071e-27	3.1308e+07	8.43039e-28	2.39388e-28	1.36258e+06
