dL	Probabilidad	Tiempo (ms)
1	2.37318e-29	8.86143e+08
10	2.40022e-29	8.78253e+07
20	2.54525e-29	4.36869e+07
30	1.9593e-29	2.90928e+07
40	2.22683e-29	2.1853e+07
50	2.23172e-29	1.73298e+07
60	1.08975e-29	1.46541e+07
70	2.97101e-29	1.26551e+07
80	2.23628e-29	1.10488e+07
90	3.5158e-29	9.8106e+06
100	3.69227e-29	8.78682e+06
110	2.14229e-29	7.81517e+06
120	2.10965e-30	7.21153e+06
130	1.62789e-30	6.7978e+06
140	8.02341e-30	6.31824e+06
150	4.23371e-31	6.00813e+06
160	1.73526e-31	5.51971e+06
170	3.49105e-30	5.17791e+06
180	9.25035e-30	4.81221e+06
190	1.74657e-29	4.56335e+06
200	1.18281e-28	4.32685e+06
210	2.78091e-27	4.1628e+06
220	1.81774e-26	3.93145e+06
230	1.94479e-25	3.76062e+06
240	7.61967e-25	3.58555e+06
250	5.25736e-24	3.46734e+06
260	2.15452e-23	3.32595e+06
270	3.4143e-22	3.21823e+06
280	9.58399e-22	3.1959e+06
290	1.58544e-21	3.0452e+06
300	4.09432e-21	2.99529e+06
310	6.04971e-19	2.79398e+06
320	2.46979e-20	2.69775e+06
330	9.83247e-21	2.61094e+06
340	4.19235e-21	2.56318e+06
350	8.91128e-22	2.52237e+06
360	2.36376e-24	2.43701e+06
370	1.45145e-22	2.34321e+06
380	7.36787e-23	2.29143e+06
390	3.16154e-25	2.21455e+06
400	1.44528e-23	2.16922e+06
410	9.2831e-25	2.15289e+06
420	1.67692e-24	2.08354e+06
430	2.49048e-25	1.99139e+06
440	2.38941e-25	1.94823e+06
450	2.46679e-27	1.90753e+06
460	1.36727e-27	1.86261e+06
470	1.16688e-27	1.82551e+06
480	5.65719e-26	1.78099e+06
490	1.13958e-26	1.73756e+06
500	1.03702e-24	1.74982e+06
510	8.0795e-24	1.73804e+06
520	7.47661e-24	1.69673e+06
530	1.37767e-23	1.65154e+06
540	1.847e-22	1.61689e+06
550	5.91301e-23	1.61162e+06
560	6.90417e-22	1.55993e+06
570	1.63199e-21	1.52211e+06
580	1.38318e-21	1.51788e+06
590	1.30866e-20	1.50753e+06
600	3.97359e-21	1.48208e+06
610	1.522e-19	1.43861e+06
620	6.04795e-19	1.39289e+06
630	3.91961e-19	1.39263e+06
640	2.41016e-20	1.34824e+06
650	1.58029e-20	1.35866e+06
660	8.8067e-21	1.30955e+06
670	7.10151e-22	1.30559e+06
680	3.17945e-21	1.25748e+06
690	1.69243e-22	1.25726e+06
700	5.23292e-22	1.26511e+06
710	3.26748e-22	1.24083e+06
720	2.08257e-24	1.24281e+06
730	9.85804e-23	1.19626e+06
740	2.3232e-23	1.19972e+06
750	1.98598e-25	1.21855e+06
760	7.53905e-24	1.15283e+06
770	8.56779e-25	1.15659e+06
780	1.52463e-26	1.11455e+06
790	7.41445e-25	1.11342e+06
800	3.07034e-24	1.11336e+06
810	3.40698e-23	1.06676e+06
820	1.25927e-23	1.06592e+06
830	1.90083e-22	1.06636e+06
840	4.18756e-22	1.07358e+06
850	1.06962e-22	1.02169e+06
860	2.46447e-21	1.01928e+06
870	9.94493e-22	1.02035e+06
880	3.53215e-21	977244
890	1.81841e-20	975282
900	3.74491e-21	971753
910	4.38819e-20	971503
920	3.15265e-19	927818
930	6.08101e-19	929680
940	5.41053e-19	933027
950	2.21726e-19	928412
960	2.2965e-20	884601
970	4.95464e-21	889172
980	1.76184e-20	886765
990	7.56287e-21	898740
