dL	Probabilidad	Tiempo (ms)
1	1.51099e-29	8.79334e+08
10	1.42701e-29	8.85543e+07
20	6.23873e-30	4.42013e+07
30	3.90917e-30	2.9487e+07
40	3.32318e-31	2.2108e+07
50	2.56028e-30	1.76834e+07
60	4.21497e-29	1.48006e+07
70	2.09212e-28	1.25186e+07
80	1.66171e-28	1.10505e+07
90	4.79527e-23	9.80818e+06
100	2.46469e-24	8.86487e+06
110	1.30496e-28	8.0313e+06
120	5.85161e-29	7.40527e+06
130	5.10363e-30	6.83304e+06
140	2.39121e-30	6.34309e+06
150	2.09178e-30	5.93799e+06
160	4.28528e-29	5.55359e+06
170	1.64496e-26	5.22411e+06
180	4.75174e-23	4.90904e+06
190	1.28254e-21	4.65517e+06
200	1.93661e-24	4.42929e+06
210	8.3782e-27	4.25053e+06
220	2.6704e-29	4.06801e+06
230	3.06085e-31	3.77715e+06
240	2.03803e-29	3.61038e+06
250	9.65891e-26	3.57312e+06
260	4.74681e-24	3.41891e+06
270	4.65449e-23	3.28823e+06
280	1.12812e-20	3.17328e+06
290	6.84106e-24	3.00097e+06
300	1.22766e-24	2.9695e+06
310	1.41497e-26	2.8361e+06
320	9.40604e-30	2.74379e+06
330	1.30308e-26	2.65594e+06
340	9.52617e-27	2.61378e+06
350	1.73848e-23	2.5734e+06
360	4.55326e-23	2.4557e+06
370	3.86848e-20	2.37686e+06
380	1.10741e-21	2.34177e+06
390	6.26046e-24	2.25794e+06
400	5.08791e-25	2.21583e+06
410	4.34487e-27	2.17909e+06
420	5.11686e-26	2.12806e+06
430	5.28346e-24	2.03939e+06
440	2.19027e-22	1.99502e+06
450	4.44447e-23	1.95038e+06
460	5.16062e-19	1.90986e+06
470	4.01411e-21	1.86618e+06
480	2.36024e-22	1.8177e+06
490	8.82126e-24	1.7658e+06
500	1.16155e-25	1.77271e+06
510	2.35111e-27	1.76781e+06
520	1.61332e-24	1.7289e+06
530	3.69448e-23	1.6835e+06
540	4.2118e-23	1.63893e+06
550	5.92482e-19	1.64433e+06
560	1.04383e-20	1.59275e+06
570	8.42573e-22	1.5452e+06
580	2.25594e-24	1.54811e+06
590	1.17529e-24	1.50386e+06
600	8.41987e-26	1.50592e+06
610	2.59994e-23	1.46916e+06
620	4.9043e-22	1.38684e+06
630	4.17771e-23	1.39637e+06
640	3.62919e-19	1.34985e+06
650	8.6797e-21	1.3494e+06
660	1.95015e-21	1.30241e+06
670	3.50509e-23	1.30604e+06
680	9.78264e-24	1.26397e+06
690	2.1069e-25	1.26662e+06
700	3.91912e-24	1.26466e+06
710	5.95666e-22	1.22551e+06
720	4.05442e-23	1.222e+06
730	1.61207e-19	1.17336e+06
740	3.77736e-20	1.18635e+06
750	6.22411e-22	1.18198e+06
760	5.94495e-22	1.13365e+06
770	3.57014e-23	1.13754e+06
780	1.20793e-27	1.09167e+06
790	3.69052e-23	1.0939e+06
800	3.81207e-22	1.09123e+06
810	3.23762e-23	1.04582e+06
820	5.59596e-20	1.04519e+06
830	2.6209e-19	1.04535e+06
840	9.24027e-21	1.04434e+06
850	3.83182e-22	1.00497e+06
860	1.75109e-24	1.00304e+06
870	3.76793e-25	1.00245e+06
880	1.69694e-23	986874
890	1.0086e-22	955508
900	4.18401e-23	958595
910	1.27364e-20	958292
920	5.19168e-19	915520
930	1.66062e-20	913186
940	2.52761e-21	915390
950	3.58392e-22	913453
960	1.20832e-23	873458
970	1.15833e-23	870480
980	6.17188e-24	873947
990	4.17319e-23	872024
