dL	Probabilidad	Tiempo (ms)
1	6.2337e-19	3.18485e+08
10	6.23381e-19	3.27079e+07
20	6.23392e-19	1.61569e+07
30	6.23499e-19	1.08833e+07
40	6.2341e-19	8.49464e+06
50	6.23428e-19	6.41136e+06
60	6.23963e-19	5.42653e+06
70	6.23601e-19	4.58669e+06
80	6.23396e-19	4.01622e+06
90	6.23869e-19	3.57534e+06
100	6.23456e-19	3.21728e+06
110	6.23398e-19	2.92068e+06
120	6.23927e-19	2.68636e+06
130	6.2376e-19	2.46532e+06
140	6.23743e-19	2.30536e+06
150	6.24848e-19	2.14428e+06
160	6.24561e-19	2.01202e+06
170	6.24557e-19	1.8907e+06
180	6.24043e-19	1.78513e+06
190	6.25515e-19	1.68654e+06
200	6.23445e-19	1.61194e+06
210	6.25461e-19	1.54172e+06
220	6.23614e-19	1.47698e+06
230	6.25384e-19	1.39878e+06
240	6.2554e-19	1.33891e+06
250	6.23392e-19	1.30368e+06
260	6.25586e-19	1.24033e+06
270	6.24938e-19	1.18111e+06
280	6.2563e-19	1.16276e+06
290	6.26701e-19	1.10299e+06
300	6.24843e-19	1.08174e+06
310	6.27195e-19	1.02288e+06
320	6.27173e-19	1.01959e+06
330	6.26301e-19	966073
340	6.27277e-19	984282
350	6.27431e-19	943992
360	6.24333e-19	911431
370	6.25447e-19	856589
380	6.2777e-19	828251
390	6.25855e-19	827787
400	6.23551e-19	805306
410	6.26969e-19	775690
420	6.25856e-19	778104
430	6.24532e-19	752616
440	6.23207e-19	732755
450	6.28421e-19	681835
460	6.28523e-19	685404
470	6.29335e-19	685829
480	6.29162e-19	657411
490	6.29161e-19	715925
500	6.23372e-19	668340
510	6.24879e-19	642289
520	6.25632e-19	623164
530	6.27694e-19	622079
540	6.28894e-19	591270
550	6.22335e-19	563679
560	6.26044e-19	683834
570	6.28056e-19	562316
580	6.31597e-19	569967
590	6.25506e-19	544600
600	6.29241e-19	529909
610	6.22981e-19	503175
620	6.27307e-19	503777
630	6.30784e-19	504434
640	6.27245e-19	502192
650	6.32206e-19	501333
660	6.26241e-19	485752
670	6.31798e-19	489791
680	6.27179e-19	505832
690	6.31273e-19	462841
700	6.27546e-19	456372
710	6.31819e-19	427561
720	6.29182e-19	457044
730	6.26078e-19	458561
740	6.30931e-19	443062
750	6.26657e-19	422368
760	6.3375e-19	428727
770	6.30453e-19	441085
780	6.24888e-19	402317
790	6.32087e-19	436351
800	6.29175e-19	415660
810	6.24562e-19	389843
820	6.328e-19	388998
830	6.28426e-19	384828
840	6.26294e-19	414962
850	6.36061e-19	428136
860	6.30928e-19	392987
870	6.26498e-19	391160
880	6.22183e-19	378620
890	6.32133e-19	378138
900	6.28841e-19	359560
910	6.2668e-19	353417
920	6.3575e-19	356758
930	6.3203e-19	417043
940	6.29615e-19	373324
950	6.26359e-19	332201
960	6.38195e-19	329571
970	6.34247e-19	337019
980	6.28696e-19	328734
990	6.23602e-19	345165
