dL	Probabilidad	Tiempo (s)
1	1.51099e-29	896.51
4	1.45461e-29	224.216
8	1.35363e-29	112.098
12	1.23682e-29	74.7097
16	1.0639e-29	55.8757
20	6.23873e-30	44.8371
24	5.41566e-30	37.3609
28	6.04062e-30	31.9798
32	9.02926e-30	27.9679
36	1.48527e-30	24.9235
40	3.32318e-31	22.4141
44	9.80655e-32	20.3728
48	5.2232e-32	18.7159
52	9.98629e-31	17.1666
56	6.03094e-30	15.9981
60	4.21497e-29	15.0407
64	9.16023e-29	14.0679
68	7.62068e-29	13.1609
72	6.24648e-29	12.4447
76	3.08529e-28	11.7549
80	1.66171e-28	11.1685
84	9.5603e-25	10.6793
88	3.37512e-22	10.1717
92	5.12522e-19	9.76322
96	4.07188e-22	9.29947
100	2.46469e-24	8.94881
104	1.33974e-26	8.61138
108	1.90006e-27	8.26463
112	4.31118e-28	8.01261
116	3.43603e-28	7.77241
120	5.85161e-29	7.50171
124	4.93273e-29	7.22624
128	7.40175e-29	7.03869
132	1.44698e-29	6.81774
136	5.01004e-31	6.57681
140	2.39121e-30	6.44136
144	2.86243e-30	6.22919
148	2.75801e-29	6.10148
152	1.23177e-28	5.91003
156	1.25056e-29	5.75553
160	4.28528e-29	5.60361
164	1.11933e-27	5.47118
168	7.66867e-25	5.37464
172	1.51527e-23	5.23568
176	3.2034e-22	5.10461
180	4.75174e-23	4.99992
184	5.13493e-19	4.87796
188	4.50399e-21	4.74679
192	3.82542e-22	4.6605
196	3.3067e-23	4.56804
