dL	Probabilidad	Tiempo (s)
1	1.96865e-26	332.792
4	1.96798e-26	84.3947
8	1.96186e-26	41.2777
12	1.94038e-26	27.2752
16	1.89721e-26	20.5135
20	1.91109e-26	16.6914
24	1.86704e-26	14.811
28	1.81925e-26	12.0289
32	1.78868e-26	10.1274
36	1.75483e-26	9.06214
40	1.71438e-26	8.15577
44	1.9515e-26	7.32833
48	1.58048e-26	6.71588
52	1.50164e-26	6.17918
56	1.50328e-26	5.75153
60	1.35581e-26	5.39262
64	1.56066e-26	5.04604
68	9.95565e-27	4.74794
72	9.91032e-27	4.48319
76	1.0031e-26	4.2515
80	9.74677e-27	4.02708
84	8.03686e-27	3.84421
88	8.40573e-27	3.6799
92	9.32272e-27	3.48875
96	8.04323e-27	3.36826
100	8.15843e-27	3.24075
104	7.33025e-27	3.15354
108	6.58743e-27	2.98252
112	3.8097e-27	2.89821
116	4.17938e-27	2.76961
120	2.68372e-27	2.68482
124	1.95821e-27	2.61455
128	1.49923e-27	2.4974
132	9.93078e-28	2.44644
136	3.82137e-28	2.39966
140	5.52114e-28	2.31599
144	1.06464e-28	2.25466
148	1.13518e-28	2.18081
152	1.40662e-29	2.12653
156	1.39693e-31	2.04492
160	9.01897e-29	2.02201
164	4.13004e-28	1.98657
168	1.03517e-28	1.96935
172	3.85527e-28	1.88738
176	2.96492e-27	1.86174
180	1.02959e-27	1.84212
184	5.23646e-27	1.73833
188	5.29249e-27	1.71816
192	6.84086e-27	1.66748
196	1.34955e-26	1.63462
